node,tipo,equipo,comunidad,degree_centrality,betweenness_centrality,eigenvector_centrality,justificacion
tombrady,influencer,NE,1,0.2364,0.2795,0.53,alto volumen de interacción directa; actúa como puente entre comunidades; conectada a otras cuentas muy influyentes
bot_nfl_01,bot,global,1,0.0545,0.032,0.3399,conectada a otras cuentas muy influyentes
patriots,equipo,NE,1,0.1818,0.1995,0.3289,alto volumen de interacción directa; actúa como puente entre comunidades; conectada a otras cuentas muy influyentes
nfl,medio,global,4,0.1455,0.2943,0.3088,alto volumen de interacción directa; actúa como puente entre comunidades; conectada a otras cuentas muy influyentes
bot_nfl_02,bot,global,1,0.0545,0.066,0.2895,actúa como puente entre comunidades; conectada a otras cuentas muy influyentes
fan_ne_01,fan,NE,1,0.1455,0.0,0.2635,alto volumen de interacción directa; conectada a otras cuentas muy influyentes
espn,medio,global,1,0.1455,0.1296,0.2321,alto volumen de interacción directa; actúa como puente entre comunidades
#SBXLIX,hashtag,global,1,0.1455,0.0323,0.1626,alto volumen de interacción directa
seahawks,equipo,SEA,3,0.1273,0.1338,0.1562,alto volumen de interacción directa; actúa como puente entre comunidades
#Patriots,hashtag,NE,1,0.0727,0.0,0.1555,influencia moderada y distribuida
