source,target,weight
fan_ne_01,patriots,3
fan_ne_02,patriots,2
fan_ne_03,patriots,1
fan_sea_01,seahawks,3
fan_sea_02,seahawks,2
fan_sea_03,seahawks,1
fan_gb_01,packers,3
fan_gb_02,packers,2
fan_gb_03,packers,1
fan_dal_01,cowboys,3
fan_dal_02,cowboys,2
fan_dal_03,cowboys,1
fan_den_01,broncos,2
fan_den_02,broncos,1
fan_ind_01,colts,2
fan_pit_01,steelers,2
fan_ari_01,cardinals,1
fan_det_01,lions,1
fan_ne_01,tombrady,5
fan_ne_02,tombrady,3
fan_sea_01,russellwilson,4
fan_sea_02,russellwilson,2
fan_gb_01,aaronrodgers,5
fan_gb_02,aaronrodgers,3
fan_dal_01,dezbyrant,3
fan_dal_02,dezbyrant,2
fan_den_01,peytonmanning,3
fan_ind_01,andrewluck,3
fan_ne_01,#Patriots,2
fan_ne_02,#Patriots,1
fan_sea_01,#Seahawks,2
fan_gb_01,#GoPackGo,2
fan_dal_01,#CowboysNation,2
fan_den_01,#BroncosCountry,1
fan_ind_01,#ForTheShoe,1
fan_ne_01,#SBXLIX,1
fan_sea_01,#SBXLIX,1
fan_ne_01,fan_ne_02,1
fan_ne_02,fan_ne_03,1
fan_sea_01,fan_sea_02,1
fan_sea_02,fan_sea_03,1
fan_gb_01,fan_gb_02,1
fan_dal_01,fan_dal_02,1
fan_ne_01,fan_sea_01,1
fan_gb_01,fan_dal_01,1
nfl,patriots,4
nfl,seahawks,4
nfl,packers,3
nfl,tombrady,5
nfl,aaronrodgers,4
nfl,russellwilson,3
espn,patriots,3
espn,seahawks,3
espn,cowboys,2
espn,tombrady,4
nflnetwork,patriots,3
nflnetwork,seahawks,2
nflnetwork,dezbyrant,2
sportscenter,obj,3
sportscenter,jjwatt,2
bleacherreport,dezbyrant,2
bleacherreport,obj,2
cbssports,packers,2
cbssports,broncos,2
cbssports,peytonmanning,2
nfl,#NFL,3
espn,#NFL,2
espn,#SBXLIX,2
nflnetwork,#SBXLIX,2
tombrady,russellwilson,2
russellwilson,tombrady,2
aaronrodgers,dezbyrant,1
peytonmanning,tombrady,2
tombrady,peytonmanning,2
andrewluck,tombrady,1
dezbyrant,aaronrodgers,1
tombrady,#SBXLIX,1
russellwilson,#SBXLIX,1
tombrady,#Patriots,1
aaronrodgers,#GoPackGo,1
bot_nfl_01,tombrady,10
bot_nfl_02,patriots,8
bot_nfl_03,seahawks,6
bot_nfl_04,dezbyrant,7
bot_nfl_05,cowboys,5
bot_nfl_02,tombrady,4
bot_nfl_04,patriots,3
fan_ne_01,bot_nfl_01,1
fan_dal_01,bot_nfl_04,1
bot_nfl_01,#Patriots,5
bot_nfl_02,#SBXLIX,4
bot_nfl_03,#Seahawks,3
bot_nfl_04,#GoPackGo,2
bot_nfl_05,#CowboysNation,4
bot_nfl_06,#BroncosCountry,1
bot_nfl_07,#SBXLIX,3
fan_gb_01,cowboys,1
fan_dal_01,packers,1
dezbyrant,packers,1
fan_dal_01,#NFL,1
espn,#NFL,1
nflnetwork,tombrady,2
peytonmanning,broncos,1
jjwatt,nfl,1
jjwatt,espn,1
obj,sportscenter,1
obj,cowboys,1
fan_ne_01,espn,1
fan_sea_01,nflnetwork,1
tombrady,colts,1
andrewluck,patriots,1
fan_ind_01,patriots,1
