node,tipo,equipo
patriots,equipo,NE
seahawks,equipo,SEA
packers,equipo,GB
cowboys,equipo,DAL
broncos,equipo,DEN
colts,equipo,IND
steelers,equipo,PIT
cardinals,equipo,ARI
lions,equipo,DET
ravens,equipo,BAL
panthers,equipo,CAR
chiefs,equipo,KC
nfl,medio,global
espn,medio,global
nflnetwork,medio,global
sportscenter,medio,global
bleacherreport,medio,global
cbssports,medio,global
tombrady,influencer,NE
aaronrodgers,influencer,GB
russellwilson,influencer,SEA
dezbyrant,influencer,DAL
peytonmanning,influencer,DEN
andrewluck,influencer,IND
jjwatt,influencer,global
obj,influencer,global
fan_ari_01,fan,ARI
fan_ari_02,fan,ARI
fan_ari_03,fan,ARI
fan_bal_01,fan,BAL
fan_bal_02,fan,BAL
fan_bal_03,fan,BAL
fan_car_01,fan,CAR
fan_car_02,fan,CAR
fan_car_03,fan,CAR
fan_dal_01,fan,DAL
fan_dal_02,fan,DAL
fan_dal_03,fan,DAL
fan_den_01,fan,DEN
fan_den_02,fan,DEN
fan_den_03,fan,DEN
fan_det_01,fan,DET
fan_det_02,fan,DET
fan_det_03,fan,DET
fan_gb_01,fan,GB
fan_gb_02,fan,GB
fan_gb_03,fan,GB
fan_ind_01,fan,IND
fan_ind_02,fan,IND
fan_ind_03,fan,IND
fan_kc_01,fan,KC
fan_kc_02,fan,KC
fan_kc_03,fan,KC
fan_ne_01,fan,NE
fan_ne_02,fan,NE
fan_ne_03,fan,NE
fan_pit_01,fan,PIT
fan_pit_02,fan,PIT
fan_pit_03,fan,PIT
fan_sea_01,fan,SEA
fan_sea_02,fan,SEA
fan_sea_03,fan,SEA
bot_nfl_01,bot,global
bot_nfl_02,bot,global
bot_nfl_03,bot,global
bot_nfl_04,bot,global
bot_nfl_05,bot,global
bot_nfl_06,bot,global
bot_nfl_07,bot,global
#SBXLIX,hashtag,global
#NFL,hashtag,global
#Patriots,hashtag,NE
#Seahawks,hashtag,SEA
#GoPackGo,hashtag,GB
#CowboysNation,hashtag,DAL
#BroncosCountry,hashtag,DEN
#ForTheShoe,hashtag,IND
