comunidad,tamano,equipo_dominante,pct_equipo_dominante,pct_bots,interpretacion
1,12,NE,50.0,25.0,Comunidad dominada por NE
5,10,DAL,60.0,20.0,Comunidad dominada por DAL — presencia relevante de influencers que marcan agenda
4,8,GB,75.0,0.0,Comunidad dominada por GB — presencia relevante de influencers que marcan agenda
3,7,SEA,85.7,14.3,Comunidad dominada por SEA — presencia relevante de influencers que marcan agenda
7,7,DEN,71.4,14.3,Comunidad dominada por DEN — presencia relevante de influencers que marcan agenda
8,4,IND,100.0,0.0,Comunidad dominada por IND — presencia relevante de influencers que marcan agenda
9,2,PIT,100.0,0.0,Comunidad dominada por PIT
0,2,ARI,100.0,0.0,Comunidad dominada por ARI
2,2,DET,100.0,0.0,Comunidad dominada por DET
6,2,global,100.0,0.0,Comunidad dominada por global — presencia relevante de influencers que marcan agenda
